placa;tamanho;tratamento
1;47.89;agua
1;48.04;agua
1;53.17;agua
1;45.06;agua
1;74.06;agua
1;49.83;agua
1;43.68;agua
1;48.82;agua
1;40.18;agua
1;43.23;agua
1;65.71;peg
1;77.68;peg
1;70.48;peg
1;54.19;peg
1;73.23;peg
1;63.04;peg
1;85.9;peg
1;65.18;peg
1;37.96;peg
1;60.79;peg
1;47.51;ext5.0
1;38;ext5.0
1;40.14;ext5.0
1;38.25;ext5.0
1;41.12;ext5.0
1;49.07;ext5.0
1;42.83;ext5.0
1;45.08;ext5.0
1;48.3;ext5.0
1;47.69;ext5.0
2;55.34;agua
2;48.29;agua
2;49.97;agua
2;72.63;agua
2;53.27;agua
2;70.28;agua
2;88.08;agua
2;65.55;agua
2;59.43;agua
2;53.75;agua
2;58.44;peg
2;84.84;peg
2;61.65;peg
2;78.1;peg
2;76.22;peg
2;50.27;peg
2;58.77;peg
2;72.94;peg
2;56.36;peg
2;67.34;peg
2;39.05;ext2.5
2;38.75;ext2.5
2;44.27;ext2.5
2;32.66;ext2.5
2;58.59;ext2.5
2;43.31;ext2.5
2;28.73;ext2.5
3;59.45;agua
3;73.19;agua
3;63.34;agua
3;46.43;agua
3;49.81;agua
3;74.78;agua
3;62.11;agua
3;59.71;agua
3;61.01;agua
3;59.05;agua
3;36.89;peg
3;52.59;peg
3;45.71;peg
3;41.21;peg
3;42.77;peg
3;34.33;peg
3;33.36;peg
3;36.17;peg
3;42.85;peg
3;50.24;peg
3;34.69;ext2.5
3;28.28;ext2.5
3;43.18;ext2.5
3;54.32;ext2.5
3;39.36;ext2.5
3;42.26;ext2.5
3;39.95;ext2.5
3;49.28;ext2.5
3;37.4;ext2.5
3;33.85;ext2.5
4;45.17;agua
4;50.76;agua
4;46.85;agua
4;63.04;agua
4;63.66;agua
4;42.58;agua
4;45.64;agua
4;52.89;agua
4;81.52;agua
4;63.61;agua
4;57.73;peg
4;78.94;peg
4;44.09;peg
4;71.56;peg
4;70.4;peg
4;86.99;peg
4;65.86;peg
4;78.81;peg
4;71.24;peg
4;52.82;peg
4;24.15;ext2.5
4;49.57;ext2.5
4;49.71;ext2.5
4;29.15;ext2.5
4;37.46;ext2.5
4;31.29;ext2.5
4;43.76;ext2.5
4;36.72;ext2.5
4;24.28;ext2.5
4;41.18;ext2.5
4;42.61;ext5.0
4;50.16;ext5.0
4;40.92;ext5.0
4;50.22;ext5.0
4;47.43;ext5.0
4;42.93;ext5.0
4;60.25;ext5.0
4;35.93;ext5.0
4;42.98;ext5.0
4;40.63;ext5.0
5;42.24;agua
5;63.5;agua
5;98.28;agua
5;43.13;agua
5;65.47;agua
5;63.55;agua
5;51.42;agua
5;56.52;agua
5;60.06;agua
5;69.58;agua
5;63.34;peg
5;57.97;peg
5;85.99;peg
5;62.73;peg
5;71.7;peg
5;70.75;peg
5;76.53;peg
5;78.62;peg
5;99.35;peg
5;69.35;peg
5;35;ext2.5
5;35.47;ext2.5
5;35.31;ext2.5
5;38.46;ext2.5
5;36.03;ext2.5
5;35.43;ext2.5
5;43.17;ext2.5
5;41.8;ext2.5
5;37.46;ext2.5
5;51.57;ext2.5
5;47.45;ext5.0
5;51.75;ext5.0
5;33.88;ext5.0
5;55.26;ext5.0
5;39.42;ext5.0
5;35.16;ext5.0
5;42.26;ext5.0
5;38.61;ext5.0
5;39.4;ext5.0
5;31.95;ext5.0
